City,Country,Lat,Lng,Date,Cloudiness,Humidity,Wind speed,Temp (F)
seoul,kr,37.57,126.98,1551642600,75,69,1.5,39.48800000000004
souillac,mu,-20.52,57.52,1551644347,40,83,3.1,80.83399999999999
sola,vu,-13.88,167.55,1551644454,88,88,4.52,84.1046
itarema,br,-2.92,-39.92,1551644264,88,99,1.32,75.46460000000009
pevek,ru,69.7,170.27,1551644456,64,83,3.77,-2.3403999999999527
todos santos,mx,23.45,-110.23,1551644256,12,82,2.24,81.05
boa vista,br,2.82,-60.67,1551643200,40,29,3.6,98.6
rio bueno,cl,-40.32,-72.97,1551639600,75,48,6.2,64.4
cape town,za,-33.93,18.42,1551644118,0,93,2.1,66.79400000000007
college,us,64.86,-147.8,1551644212,75,78,1.5,19.07600000000009
alice springs,au,-23.7,133.88,1551641400,32,27,2.1,73.4
khiv,ru,41.75,47.93,1551644279,56,85,0.97,26.774600000000067
ribeira grande,pt,38.52,-28.7,1551641400,75,67,5.1,57.2
vestmannaeyjar,is,63.44,-20.27,1551644205,92,96,5.87,38.834600000000044
kodiak,us,39.95,-94.76,1551644019,1,16,6.2,8.149999999999999
atuona,pf,-9.8,-139.03,1551644471,92,100,5.52,80.2796
lubana,lv,56.9,26.72,1551644472,92,96,4.67,33.61460000000009
ushtobe,kz,45.25,77.98,1551644473,0,70,1.32,21.104600000000005
ecatepec,mx,19.6,-99.05,1551643984,5,21,2.6,77.70200000000008
fort-shevchenko,kz,44.51,50.26,1551644475,0,100,3.47,31.454600000000006
hithadhoo,mv,-0.6,73.08,1551644036,92,100,5.07,83.33960000000009
georgetown,sh,-7.93,-14.42,1551644478,64,98,5.52,81.94460000000002
kulhudhuffushi,mv,6.62,73.07,1551644479,92,100,3.87,82.25960000000005
castro,cl,-42.48,-73.76,1551639600,90,100,6.7,53.6
kavieng,pg,-2.57,150.8,1551644483,32,100,2.82,83.38460000000005
coari,br,-4.09,-63.14,1551644301,20,66,2.32,88.1546
ponta do sol,cv,17.2,-25.09,1551643200,20,64,8.7,71.6
xinxiang,cn,35.3,113.88,1551644487,0,76,1.07,30.914600000000085
marsa matruh,eg,31.35,27.25,1551639600,20,77,4.1,59.0
tasiilaq,gl,65.61,-37.64,1551642600,80,73,10.3,23.0
shelburne,ca,44.08,-80.2,1551644463,90,58,5.1,27.716000000000008
yellowknife,ca,62.45,-114.38,1551644293,20,42,2.1,6.962000000000057
manokwari,id,-0.87,134.08,1551644497,68,100,3.32,78.38960000000009
nikolskoye,ru,59.7,30.79,1551641400,75,85,1.0,17.6
faanui,pf,-16.48,-151.75,1551644031,20,100,2.52,83.33960000000009
dikson,ru,73.51,80.55,1551644502,56,100,11.82,-6.120399999999947
nampula,mz,-15.12,39.26,1551644504,100,97,1.17,71.41460000000009
grindavik,is,63.84,-22.43,1551643755,0,100,5.7,40.40600000000003
hobart,au,-42.88,147.33,1551644052,40,76,2.6,51.63800000000005
kiyasovo,ru,56.35,53.12,1551644225,68,81,3.72,10.994000000000074
isangel,vu,-19.55,169.27,1551644073,0,95,3.82,82.93460000000005
port macquarie,au,-31.43,152.91,1551644045,40,93,0.42,62.024000000000015
kisangani,cd,0.52,25.21,1551644514,12,93,1.17,75.68960000000008
qaanaaq,gl,77.48,-69.36,1551644046,0,85,5.17,-6.705399999999976
dewa,in,27.04,81.17,1551641400,40,93,1.0,62.6
chokurdakh,ru,70.62,147.9,1551644518,36,62,2.77,-13.320399999999943
surgut,ru,61.25,73.4,1551641400,40,79,7.0,24.8
erdenet,mn,49.03,104.04,1551644521,0,58,0.97,7.874600000000065
kapaa,us,22.08,-159.32,1551644308,75,68,5.7,71.54600000000005
butaritari,ki,3.07,172.79,1551644523,92,100,4.87,77.71460000000009
yulara,au,-25.24,130.99,1551639600,0,24,3.6,78.8
saint-francois,gp,16.25,-61.27,1551641400,20,65,8.2,80.6
port alfred,za,-33.59,26.89,1551643747,0,87,0.89,69.99800000000002
nannilam,in,10.88,79.61,1551644535,8,82,3.32,76.40960000000004
petropavlovsk-kamchatskiy,ru,53.05,158.65,1551641400,56,65,4.02,5.0
carnarvon,au,-24.87,113.63,1551639600,88,73,5.1,77.0
sorland,no,67.67,12.69,1551639000,0,63,3.6,21.218000000000085
vaini,to,-21.2,-175.2,1551639600,90,94,6.7,75.2
mezen,ru,65.85,44.24,1551644541,64,77,1.22,6.704600000000006
sotouboua,tg,8.56,0.98,1551644542,12,30,2.82,78.61460000000008
lavrentiya,ru,65.58,-170.99,1551644543,76,92,13.72,28.439600000000087
mount gambier,au,-37.83,140.78,1551641400,90,100,1.32,48.2
iwaki,jp,37.05,140.89,1551643855,92,98,2.32,43.19600000000005
tawau,my,4.26,117.89,1551644550,0,96,1.52,75.73460000000004
kushiro,jp,43.11,144.15,1551644551,0,49,1.12,8.459600000000044
warrington,us,40.25,-75.13,1551644551,90,97,2.6,38.768000000000086
hasaki,jp,35.73,140.83,1551644376,90,100,5.1,48.541999999999994
morehead,pg,-8.71,141.64,1551644555,32,92,1.52,77.62460000000007
coihaique,cl,-45.58,-72.07,1551639600,75,41,5.7,56.13800000000005
thaton,mm,16.91,97.37,1551644559,0,100,3.32,75.19460000000002
katsuura,jp,33.93,134.5,1551642882,75,93,5.7,47.55200000000008
grand-santi,gf,4.27,-54.38,1551644562,88,92,1.92,78.0296
tuktoyaktuk,ca,69.44,-133.03,1551643200,90,85,11.3,14.0
lebu,cl,-37.62,-73.65,1551644565,0,90,4.67,58.184600000000046
virginia beach,us,36.85,-75.98,1551644410,90,87,3.6,46.38200000000002
nuuk,gl,64.17,-51.74,1551642600,0,85,3.6,21.2
kaitangata,nz,-46.28,169.85,1551644511,0,78,2.02,58.67960000000001
marawi,sd,18.48,31.82,1551644570,0,29,4.37,63.17960000000001
punta alta,ar,-27.46,-55.82,1551639600,0,38,3.1,94.11800000000008
hamilton,bm,32.3,-64.78,1551644319,75,83,3.6,69.94400000000007
maxixe,mz,-23.86,35.35,1551639600,20,83,4.12,80.20400000000005
muros,es,42.77,-9.06,1551644405,75,93,7.2,55.346000000000046
anadyr,ru,64.73,177.51,1551639600,90,92,24.0,30.2
komsomolskiy,ru,67.55,63.78,1551644360,8,42,1.42,-14.355399999999975
buala,sb,-8.15,159.59,1551644578,0,88,1.47,82.48460000000004
iskateley,ru,67.68,53.15,1551644579,0,65,4.87,-4.365399999999951
manono,cd,-7.3,27.4,1551644580,88,93,2.17,70.87460000000007
bilibino,ru,68.06,166.44,1551644582,56,62,1.22,-14.760399999999962
sandy bay,hn,16.33,-86.56,1551643200,20,66,9.3,84.2
klaksvik,fo,62.23,-6.59,1551642600,92,93,1.5,41.0
ulladulla,au,-35.36,150.48,1551644146,24,100,5.82,66.07400000000001
ajdabiya,ly,30.75,20.22,1551644591,0,88,2.62,49.09460000000003
kungurtug,ru,50.6,97.53,1551644592,0,52,0.97,-4.140399999999957
hofn,is,64.25,-15.21,1551644593,88,100,17.37,36.809600000000046
marsh harbour,bs,26.54,-77.06,1551644395,64,100,6.27,75.95960000000005
mahebourg,mu,-20.41,57.7,1551644347,40,83,3.1,80.83399999999999
tiksi,ru,71.64,128.87,1551644601,56,70,3.87,-5.940399999999954
awjilah,ly,29.14,21.3,1551644602,0,59,4.87,55.21460000000009
louga,sn,15.62,-16.22,1551643200,0,35,4.1,73.4
mar del plata,ar,-46.43,-67.52,1551644060,32,41,10.32,63.94460000000002
san sebastian coatan,gt,15.74,-91.57,1551644607,0,41,1.17,77.75960000000005
benguela,ao,-12.58,13.4,1551644609,64,100,2.82,79.6046
sagua de tanamo,cu,20.58,-75.24,1551644610,76,72,1.37,76.58960000000009
salalah,om,17.01,54.1,1551639000,20,61,1.5,78.8
thinadhoo,mv,0.53,72.93,1551644612,68,99,6.32,83.56460000000008
manta,ec,-0.95,-80.73,1551639600,90,94,2.1,78.8
port-gentil,ga,-0.72,8.78,1551643200,40,83,2.6,82.4
havelock,us,34.88,-76.9,1551644583,90,77,3.6,64.90400000000005
nobres,br,-14.72,-56.34,1551644617,12,84,1.32,82.30460000000001
batemans bay,au,-35.71,150.18,1551644420,20,96,0.89,60.332000000000015
palmer,us,61.6,-149.11,1551644610,90,68,1.5,28.34600000000005
samarai,pg,-10.62,150.67,1551644622,0,100,1.42,80.18960000000008
nagato,jp,34.35,131.14,1551644485,75,93,1.5,48.34400000000007
dhidhdhoo,mv,6.88,73.1,1551644627,92,100,3.87,82.25960000000005
karasburg,na,-28.01,18.75,1551644628,0,41,4.97,73.12460000000007
saint-pierre,pm,46.77,-56.17,1551643200,90,92,6.7,24.332000000000015
raudeberg,no,61.99,5.14,1551644403,75,81,5.7,40.58600000000007
mizdah,ly,31.45,12.98,1551644631,0,77,4.02,48.82460000000007
huntsville,us,34.73,-86.59,1551644544,90,93,4.1,41.108000000000004
lagoa,pt,37.14,-8.45,1551644228,0,82,2.6,56.42600000000009
tumaco,co,1.8,-78.82,1551644635,32,91,4.22,81.22460000000007
erenhot,cn,43.65,111.97,1551644639,8,63,1.07,11.114600000000088
poum,nc,-20.23,164.02,1551644641,92,100,8.47,78.16460000000009
novyy urengoy,ru,66.08,76.63,1551644642,92,90,8.72,16.334600000000044
cherskiy,ru,68.75,161.3,1551644058,20,50,2.67,-17.460399999999964
chabahar,ir,25.29,60.65,1551644645,0,100,5.87,69.43460000000005
farafangana,mg,-22.82,47.83,1551644646,76,93,4.42,81.49460000000002
sao paulo de olivenca,br,-3.38,-68.87,1551644647,24,57,1.67,89.63960000000009
cabatuan,ph,16.95,121.67,1551644650,0,95,0.87,65.15960000000004
sur,om,22.57,59.53,1551644455,0,100,2.17,67.27460000000006
lorengau,pg,-2.02,147.27,1551644652,0,99,2.22,82.84460000000003
worland,us,44.02,-107.96,1551644437,90,64,2.1,2.6960000000000477
longyearbyen,sj,78.22,15.64,1551642600,75,58,3.6,-2.199999999999946
genhe,cn,50.78,121.52,1551644656,20,52,1.22,5.534600000000047
providencia,mx,27.5,-109.99,1551644235,5,23,4.6,82.958
tiarei,pf,-17.53,-149.33,1551644584,20,70,3.1,86.50400000000005
cayenne,gf,4.94,-52.33,1551641400,80,83,3.6,77.0
robertsport,lr,6.75,-11.37,1551644660,8,99,4.57,81.62960000000001
ternate,id,0.8,127.4,1551644663,76,100,3.67,79.78460000000004
adrar,dz,27.87,-0.29,1551643200,0,12,3.1,68.0
west wendover,us,40.74,-114.07,1551642180,90,74,1.5,37.4
oistins,bb,13.07,-59.53,1551644666,68,100,5.72,77.48960000000008
luena,ao,-11.78,19.91,1551644668,36,72,1.87,69.52460000000006
thompson,ca,55.74,-97.86,1551643200,90,65,7.2,5.0
vardo,no,70.37,31.11,1551642600,75,78,10.3,15.53000000000004
penzance,gb,50.12,-5.53,1551644400,68,81,7.2,47.31800000000008
chuy,uy,-33.69,-53.46,1551644675,0,68,4.47,73.0796
mount isa,au,-20.73,139.49,1551641400,0,68,2.57,71.6
tagusao,ph,9.19,117.81,1551644679,0,98,1.32,73.03460000000004
churapcha,ru,62.0,132.43,1551644681,0,34,1.17,-23.625399999999935
fukue,jp,35.03,136.69,1551644646,75,100,5.7,48.00200000000008
ojinaga,mx,29.57,-104.42,1551644162,1,22,6.2,78.63800000000005
vilhena,br,-12.74,-60.15,1551639600,40,66,2.1,84.2
arraial do cabo,br,-22.97,-42.02,1551643200,75,74,3.1,84.2
tabuk,sa,28.38,36.58,1551639600,20,32,3.1,55.4
ilam,ir,33.64,46.42,1551639600,0,86,1.67,37.4
port elizabeth,za,-33.92,25.57,1551643200,0,88,3.6,69.8
tromso,no,69.65,18.96,1551644405,75,57,10.3,9.733999999999991
lufilufi,ws,-13.87,-171.6,1551644583,20,69,3.6,83.04800000000003
ulagan,ru,50.63,87.96,1551644693,36,77,1.87,10.484600000000047
hibbing,us,47.43,-92.94,1551644422,40,53,3.1,-1.227999999999966
mount pleasant,us,32.79,-79.86,1551644654,90,100,3.6,68.27000000000007
bethel,us,60.79,-161.76,1551642780,1,79,3.6,22.874000000000013
touros,br,-5.2,-35.46,1551639600,75,78,5.1,82.4
simao,cn,22.76,100.79,1551644701,12,72,1.02,48.689600000000084
tambovka,ru,47.32,47.38,1551644702,44,67,3.87,19.754600000000003
voyinka,ua,45.87,33.99,1551644707,0,74,1.92,25.244600000000027
cidreira,br,-30.17,-50.22,1551644677,8,69,4.72,78.07460000000006
narsaq,gl,60.91,-46.05,1551642600,44,68,1.5,32.0
ocos,gt,14.51,-92.19,1551643200,40,52,4.1,90.46400000000003
kaputa,zm,-8.47,29.66,1551644711,92,98,1.47,63.08960000000009
dicabisagan,ph,17.08,122.42,1551644712,0,100,1.07,66.91460000000009
antalaha,mg,-14.9,50.28,1551644714,68,96,2.42,78.0296
charters towers,au,-20.07,146.27,1551644545,32,91,4.42,66.64460000000003
hay river,ca,60.82,-115.79,1551643200,20,36,3.6,12.2
kodinsk,ru,58.6,99.18,1551644718,0,60,1.42,4.409600000000047
palwal,in,28.14,77.33,1551644107,20,100,2.67,63.35600000000003
namatanai,pg,-3.66,152.44,1551644721,8,100,3.27,80.50460000000001
guerrero negro,mx,27.97,-114.04,1551644722,8,68,6.82,65.83460000000005
meulaboh,id,4.14,96.13,1551644723,8,100,2.67,78.79460000000003
kloulklubed,pw,7.04,134.26,1551639000,90,88,5.1,78.8
norsup,vu,-16.07,167.38,1551644727,0,85,2.42,82.93460000000005
santiago,pe,-14.19,-75.71,1551644728,36,46,3.07,84.3296
tommot,ru,58.97,126.27,1551644729,48,72,0.87,4.724600000000066
buraydah,sa,26.33,43.97,1551639600,0,58,2.6,55.4
general roca,ar,-39.03,-67.58,1551639600,0,26,4.6,78.8
praia da vitoria,pt,38.73,-27.07,1551644159,75,76,5.27,57.092
axim,gh,4.87,-2.24,1551644735,48,95,6.07,83.78960000000009
torbay,ca,47.66,-52.73,1551644613,90,92,8.7,23.61200000000006
upernavik,gl,72.79,-56.15,1551644738,80,100,4.57,11.294600000000024
manado,id,1.49,124.85,1551641400,20,100,1.0,71.6
mahajanga,mg,-15.72,46.32,1551643200,20,88,1.0,80.6
bud,no,62.91,6.91,1551644400,90,93,3.1,37.562000000000054
clyde river,ca,70.47,-68.59,1551643200,20,83,2.6,-5.799999999999947
san pedro,ar,-33.68,-59.66,1551642923,24,56,2.68,82.99400000000007
sechura,pe,-5.56,-80.82,1551644483,0,67,6.42,82.5296
sarkand,kz,45.41,79.91,1551644749,76,95,1.22,27.314600000000087
saint-nazaire,fr,47.27,-2.21,1551644649,92,93,12.3,51.908
acapulco,mx,16.86,-99.88,1551639060,5,70,5.7,84.2
pasighat,in,28.06,95.33,1551644757,88,83,0.72,52.3796
alekseyevskoye,ru,45.2,43.58,1551644758,12,86,2.67,24.164600000000085
talnakh,ru,69.49,88.39,1551644695,8,52,1.52,-10.57539999999993
northam,au,-31.65,116.67,1551641400,0,24,3.6,80.6
at-bashi,kg,41.17,75.81,1551644763,88,82,1.52,15.839600000000086
bireun,id,5.2,96.7,1551644765,12,100,1.62,81.53960000000009
broome,au,-17.97,122.23,1551641400,40,70,4.1,87.8
reconquista,ar,-29.14,-59.64,1551644572,24,44,4.87,92.83460000000005
barrow,us,39.51,-90.4,1551644711,1,62,7.7,20.3
nanortalik,gl,60.14,-45.24,1551644770,88,100,4.87,27.179600000000004
kjopsvik,no,68.1,16.37,1551644190,0,66,5.1,13.226000000000091
port blair,in,11.67,92.75,1551644677,0,100,0.87,81.58460000000005
berdyaush,ru,55.17,59.15,1551644775,76,73,4.52,15.659600000000047
xining,cn,36.62,101.77,1551644777,20,58,1.27,13.679600000000004
sao joao da barra,br,-21.64,-41.05,1551639600,20,52,7.2,89.6
kutum,sd,14.2,24.66,1551644781,0,32,3.82,61.064600000000084
roebourne,au,-20.77,117.15,1551644782,76,49,0.62,80.9546
tessalit,ml,20.2,1.01,1551644784,0,18,3.67,61.73960000000009
chesterville,ca,45.96,-71.82,1551644525,90,58,4.1,28.13000000000004
presidencia roque saenz pena,ar,-26.79,-60.44,1551644787,0,50,6.72,92.92460000000007
otavi,na,-19.64,17.34,1551644788,64,79,1.07,65.83460000000005
goma,cd,-1.67,29.23,1551644789,48,97,1.12,58.13960000000009
saldanha,za,-33.01,17.94,1551639600,0,82,2.6,68.0
lompoc,us,34.64,-120.46,1551644735,90,82,6.2,59.18000000000004
whitehorse,ca,60.72,-135.06,1551644566,20,47,4.6,13.13600000000007
masingbi,sl,8.64,-11.47,1551644794,0,57,0.72,78.0296
chuchkovo,ru,54.27,41.45,1551644795,88,89,7.07,27.674600000000066
vanimo,pg,-2.67,141.3,1551644798,76,100,4.82,80.86460000000008
victoria,sc,-4.62,55.45,1551643200,40,88,1.5,78.8
provideniya,ru,64.42,-173.23,1551644672,92,94,15.57,29.339600000000086
san carlos de bariloche,ar,-41.13,-71.31,1551639600,20,38,15.4,59.0
eureka,us,40.8,-124.16,1551644708,90,87,2.6,55.25600000000003
qasigiannguit,gl,68.82,-51.19,1551642600,76,78,1.22,17.6
jasper,ca,52.88,-118.08,1551643412,0,27,1.02,5.0
luderitz,na,-26.65,15.16,1551644806,20,78,8.67,63.76460000000009
harper,lr,4.38,-7.71,1551644808,0,95,3.72,84.19460000000002
moranbah,au,-22.0,148.04,1551644809,8,86,6.17,67.4546
nelson bay,au,-32.72,152.14,1551644602,48,83,2.6,68.52200000000003
hami,cn,42.84,93.51,1551644737,0,62,3.22,26.279600000000006
puerto madero,mx,14.72,-92.42,1551642000,20,59,6.2,89.6
vila franca do campo,pt,37.72,-25.43,1551644714,75,67,5.7,56.87600000000009
saint george,bm,32.38,-64.68,1551644719,75,83,3.6,69.96200000000006
puno,pe,-15.84,-70.03,1551639600,40,42,5.1,64.4
makakilo city,us,21.35,-158.09,1551644722,1,50,4.1,73.67000000000006
pimentel,pe,-6.84,-79.94,1551639600,0,29,8.2,66.2
jizan,sa,16.89,42.56,1551643200,0,61,5.1,80.6
tuatapere,nz,-46.13,167.69,1551644408,0,94,5.47,55.004000000000055
rio tercero,ar,-32.17,-64.11,1551644826,88,78,5.67,76.85960000000004
kargat,ru,55.19,80.28,1551644827,80,88,7.87,29.114600000000088
dhrangadhra,in,22.99,71.47,1551644829,0,78,2.62,63.17960000000001
fuerte olimpo,py,-21.04,-57.87,1551644830,0,51,2.52,93.73460000000004
bonga,et,7.26,36.25,1551644831,32,92,0.77,57.82460000000007
kropotkin,ru,45.43,40.58,1551644117,0,92,2.57,33.998000000000026
auki,sb,-8.77,160.7,1551644833,32,100,1.62,80.18960000000008
hambantota,lk,6.12,81.12,1551644835,24,100,1.22,77.08460000000005
divnomorskoye,ru,44.5,38.13,1551644837,0,92,2.57,29.789600000000085
bria,cf,6.54,21.99,1551644839,0,40,3.72,75.1046
ellensburg,us,47.0,-120.55,1551644761,1,35,2.6,23.45
maceio,br,-9.67,-35.74,1551643200,40,74,6.2,80.6
brae,gb,60.4,-1.35,1551642600,92,87,5.7,44.6
orbetello,it,42.44,11.21,1551644716,20,87,2.1,47.768000000000086
hirara,jp,24.8,125.28,1551644711,8,100,9.57,69.20960000000005
kuching,my,1.56,110.34,1551641400,75,94,0.32,77.0
omboue,ga,-1.57,9.26,1551644848,80,99,4.17,83.92460000000007
kemi,fi,65.74,24.56,1551642600,0,76,1.0,-9.399999999999949
dukat,ru,62.55,155.55,1551644851,48,57,1.17,-22.005399999999973
mangai,cd,-4.07,19.59,1551644853,48,97,1.27,71.59460000000003
lotoshino,ru,56.23,35.64,1551644854,8,63,1.32,5.759600000000045
kargasok,ru,59.06,80.87,1551644855,56,76,4.67,29.114600000000088
jacksonville,us,30.33,-81.66,1551644802,75,57,5.7,80.33000000000004
phalodi,in,27.13,72.36,1551644857,8,95,3.32,56.474600000000066
okato,nz,-39.19,173.88,1551644398,0,71,1.79,62.65400000000005
mareeba,au,-16.99,145.42,1551644742,75,88,4.1,71.45600000000003
leningradskiy,ru,69.38,178.42,1551644850,32,76,4.82,9.629600000000003
jejuri,in,18.28,74.16,1551644862,0,74,1.62,62.144600000000025
gizo,sb,-8.1,156.84,1551644863,0,100,0.27,82.9796
leh,in,34.16,77.58,1551644865,56,73,0.77,-3.375399999999935
filadelfia,py,-22.35,-60.04,1551644866,0,43,6.47,95.5796
hovd,mn,48.01,91.64,1551644867,12,43,0.72,-3.825399999999931
laurel,us,31.69,-89.13,1551644786,90,93,4.6,55.61600000000001
rawson,ar,-43.3,-65.11,1551644870,0,21,4.87,79.69460000000002
dalvik,is,65.97,-18.53,1551639600,90,86,6.2,33.8
tecoanapa,mx,16.99,-99.26,1551642600,5,70,4.6,84.2
iqaluit,ca,63.75,-68.52,1551644563,75,70,1.0,-5.367999999999981
isilkul,ru,54.9,71.26,1551644877,88,88,9.52,30.284600000000047
karla,ee,59.37,24.93,1551644824,75,92,6.7,25.93399999999999
kurilsk,ru,45.23,147.88,1551644879,88,100,3.22,25.514600000000087
blyth,gb,55.12,-1.5,1551644465,75,100,5.7,43.28600000000007
shelton,us,47.22,-123.1,1551644723,1,33,2.6,43.556000000000026
avarua,ck,-21.21,-159.78,1551643200,0,69,2.6,82.4
mayumba,ga,-3.44,10.65,1551644891,76,98,2.42,79.73960000000008
palu,id,-0.9,119.87,1551644892,12,95,0.77,63.224600000000066
pacific grove,us,36.62,-121.92,1551644893,90,82,5.1,56.12000000000006
salinas,br,-16.17,-42.29,1551644895,64,54,3.12,80.68460000000005
san bonifacio,it,45.4,11.27,1551644868,88,66,2.1,49.19000000000002
birkeland,no,58.33,8.23,1551644705,75,100,4.1,41.018000000000086
sangar,ru,63.92,127.47,1551644899,32,78,0.42,-18.585399999999964
hof,no,59.53,10.09,1551644752,75,100,4.6,36.82400000000001
atar,mr,20.52,-13.05,1551644902,0,16,3.17,65.38460000000005
high rock,bs,26.63,-78.28,1551643200,40,74,4.6,80.6
kernersville,us,36.12,-80.07,1551644878,90,100,5.1,45.338000000000044
osmena,ph,12.17,124.59,1551644906,36,100,1.37,71.7296
ordzhonikidze,ua,44.96,35.36,1551644907,64,100,3.42,35.63960000000009
bucerias,mx,20.76,-105.33,1551644407,5,73,5.1,77.54000000000002
takefu,jp,35.9,136.17,1551643200,90,87,5.7,44.6
shubarshi,kz,48.59,57.19,1551644732,20,86,5.52,15.884600000000045
deputatskiy,ru,69.3,139.9,1551644720,0,0,1.22,-37.03539999999995
sarny,ua,51.32,26.62,1551644914,92,91,8.62,43.1546
maloy,no,61.94,5.11,1551644877,40,81,7.2,39.38000000000004
whyalla,au,-33.04,137.58,1551639600,64,77,3.1,68.0
ivankiv,ua,50.93,29.9,1551644796,68,55,6.0,35.83399999999999
bonavista,ca,48.65,-53.11,1551644210,88,84,1.34,23.0
saquarema,br,-22.93,-42.51,1551643200,75,74,3.1,83.3
silver city,us,32.77,-108.28,1551644776,1,29,9.3,61.214000000000034
inhambane,mz,-23.87,35.38,1551639600,20,83,4.12,80.18600000000006
kamyaran,ir,34.8,46.94,1551643200,20,80,0.82,33.78200000000002
los llanos de aridane,es,28.66,-17.92,1551643208,40,77,5.1,60.062000000000054
sawtell,au,-30.38,153.1,1551644906,40,93,2.1,63.44600000000005
derzhavinsk,kz,51.1,66.31,1551644933,56,92,7.72,28.259600000000045
fairbanks,us,64.84,-147.72,1551644756,90,92,1.67,19.25600000000003
te anau,nz,-45.41,167.72,1551644935,12,81,1.82,48.28460000000005
lazaro cardenas,mx,28.39,-105.62,1551644644,5,20,2.6,79.934
nhulunbuy,au,-12.18,136.78,1551641400,100,94,3.97,77.0
kuyanovo,ru,56.95,86.47,1551644939,56,87,5.92,29.384600000000045
cabo san lucas,mx,22.89,-109.91,1551644256,0,38,2.68,80.25800000000001
erzin,ru,50.26,95.16,1551644941,0,62,0.17,-3.060399999999966
shingu,jp,33.72,135.99,1551644942,100,100,5.42,55.7546
broken hill,au,-31.97,141.45,1551643200,0,26,3.1,78.8
byron bay,au,-28.65,153.62,1551644774,40,88,4.52,67.38800000000005
hervey bay,au,-25.3,152.85,1551644109,75,94,3.6,70.52000000000007
pogana,ro,46.32,27.57,1551643200,0,55,3.6,39.07400000000001
zhangjiakou,cn,40.77,114.88,1551644952,20,66,1.22,18.359600000000047
puri,in,19.8,85.85,1551643200,75,100,0.5,75.2
antofagasta,cl,-23.65,-70.4,1551643200,20,64,6.7,71.6
kuopio,fi,62.89,27.68,1551642600,75,85,1.0,10.399999999999999
arkhangelsk,ru,64.54,40.54,1551641400,75,92,1.0,10.399999999999999
caconda,ao,-13.73,15.06,1551644958,20,94,1.27,59.084600000000044
bambanglipuro,id,-7.95,110.28,1551644959,88,98,1.27,72.58460000000005
padang,id,-0.92,100.36,1551644960,88,100,4.17,83.33960000000009
wloszczowa,pl,50.85,19.97,1551644878,64,61,1.79,46.99400000000007
suoyarvi,ru,62.08,32.35,1551644963,32,80,1.32,11.429600000000004
